Вид компании,Разница дней,Удельній вес
Email,0,"0,06770833333"
Email,1,"0,08333333333"
Email,2,"0,04687500000"
Email,3,"0,08333333333"
Email,4,"0,08333333333"
Email,5,"0,04687500000"
Email,6,"0,04166666667"
Email,7,"0,03645833333"
Email,8,"0,06250000000"
Email,9,"0,05208333333"
Email,10,"0,06250000000"
Email,11,"0,07291666667"
Email,12,"0,06250000000"
Email,13,"0,07291666667"
Email,14,"0,06250000000"
Email,15,"0,06250000000"
MobPush,0,"0,05319148936"
MobPush,1,"0,04787234043"
MobPush,2,"0,07978723404"
MobPush,3,"0,06382978723"
MobPush,4,"0,04787234043"
MobPush,5,"0,09042553191"
MobPush,6,"0,04787234043"
MobPush,7,"0,04787234043"
MobPush,8,"0,04255319149"
MobPush,9,"0,06382978723"
MobPush,10,"0,05851063830"
MobPush,11,"0,05319148936"
MobPush,12,"0,08510638298"
MobPush,13,"0,08510638298"
MobPush,14,"0,06914893617"
MobPush,15,"0,06382978723"
SMS,0,"0,06280193237"
SMS,1,"0,08695652174"
SMS,2,"0,07729468599"
SMS,3,"0,03864734300"
SMS,4,"0,05797101449"
SMS,5,"0,05314009662"
SMS,6,"0,04830917874"
SMS,7,"0,04830917874"
SMS,8,"0,04347826087"
SMS,9,"0,08212560386"
SMS,10,"0,04830917874"
SMS,11,"0,09178743961"
SMS,12,"0,07729468599"
SMS,13,"0,06280193237"
SMS,14,"0,04830917874"
SMS,15,"0,07246376812"
Viber,0,"0,08715596330"
Viber,1,"0,06880733945"
Viber,2,"0,05045871560"
Viber,3,"0,07798165138"
Viber,4,"0,04587155963"
Viber,5,"0,07798165138"
Viber,6,"0,05045871560"
Viber,7,"0,07798165138"
Viber,8,"0,04128440367"
Viber,9,"0,05504587156"
Viber,10,"0,08256880734"
Viber,11,"0,05963302752"
Viber,12,"0,04587155963"
Viber,13,"0,06880733945"
Viber,14,"0,05504587156"
Viber,15,"0,05504587156"
WebPush,0,"0,10309278351"
WebPush,1,"0,04639175258"
WebPush,2,"0,06185567010"
WebPush,3,"0,04123711340"
WebPush,4,"0,06185567010"
WebPush,5,"0,04639175258"
WebPush,6,"0,05154639175"
WebPush,7,"0,04123711340"
WebPush,8,"0,06185567010"
WebPush,9,"0,10309278351"
WebPush,10,"0,04639175258"
WebPush,11,"0,05154639175"
WebPush,12,"0,06701030928"
WebPush,13,"0,09278350515"
WebPush,14,"0,03092783505"
WebPush,15,"0,09278350515"
