Клиент,Участник компании,Кампания,Дата добавления в компанию,Дата статуса,Вид компании,Отклик
8,1,6,12.02.2023,22.02.2023,Viber,3
28,2,26,24.03.2023,02.04.2023,Email,0
18,3,28,28.03.2023,29.03.2023,Email,3
26,4,21,14.03.2023,26.03.2023,SMS,1
61,5,4,08.02.2023,17.02.2023,WebPush,3
19,6,35,11.04.2023,20.04.2023,WebPush,2
77,7,33,07.04.2023,10.04.2023,Email,1
37,8,41,23.04.2023,06.05.2023,WebPush,3
87,9,44,29.04.2023,10.05.2023,MobPush,2
62,10,34,09.04.2023,19.04.2023,WebPush,2
62,11,41,23.04.2023,04.05.2023,WebPush,1
90,12,48,07.05.2023,17.05.2023,MobPush,0
69,13,44,29.04.2023,08.05.2023,MobPush,0
64,14,18,08.03.2023,15.03.2023,SMS,1
4,15,21,14.03.2023,18.03.2023,SMS,2
77,16,45,01.05.2023,14.05.2023,MobPush,0
20,17,15,02.03.2023,14.03.2023,Viber,2
43,18,27,26.03.2023,04.04.2023,Email,3
9,19,35,11.04.2023,25.04.2023,WebPush,3
27,20,34,09.04.2023,18.04.2023,WebPush,1
37,21,33,07.04.2023,19.04.2023,Email,2
47,22,48,07.05.2023,13.05.2023,MobPush,0
88,23,36,13.04.2023,19.04.2023,WebPush,0
52,24,29,30.03.2023,09.04.2023,Email,3
51,25,11,22.02.2023,06.03.2023,Viber,2
23,26,27,26.03.2023,29.03.2023,Email,2
29,27,43,27.04.2023,30.04.2023,MobPush,2
44,28,19,10.03.2023,12.03.2023,SMS,0
44,29,5,10.02.2023,12.02.2023,MobPush,0
35,30,29,30.03.2023,14.04.2023,Email,0
93,31,24,20.03.2023,26.03.2023,SMS,0
69,32,21,14.03.2023,21.03.2023,SMS,0
6,33,41,23.04.2023,26.04.2023,WebPush,0
36,34,13,26.02.2023,01.03.2023,Viber,1
100,35,3,06.02.2023,18.02.2023,Email,0
8,36,27,26.03.2023,01.04.2023,Email,0
53,37,47,05.05.2023,18.05.2023,MobPush,3
7,38,32,05.04.2023,06.04.2023,Email,3
43,39,15,02.03.2023,10.03.2023,Viber,3
13,40,22,16.03.2023,17.03.2023,SMS,1
26,41,16,04.03.2023,12.03.2023,SMS,0
28,42,23,18.03.2023,22.03.2023,SMS,3
32,43,2,04.02.2023,11.02.2023,SMS,0
52,44,43,27.04.2023,03.05.2023,MobPush,0
61,45,22,16.03.2023,19.03.2023,SMS,3
57,46,1,02.02.2023,05.02.2023,Viber,2
16,47,23,18.03.2023,25.03.2023,SMS,0
59,48,18,08.03.2023,19.03.2023,SMS,0
30,49,28,28.03.2023,03.04.2023,Email,2
52,50,10,20.02.2023,28.02.2023,Viber,1
15,51,27,26.03.2023,31.03.2023,Email,0
88,52,40,21.04.2023,22.04.2023,WebPush,0
88,53,1,02.02.2023,08.02.2023,Viber,3
66,54,41,23.04.2023,25.04.2023,WebPush,1
8,55,49,09.05.2023,13.05.2023,MobPush,1
52,56,46,03.05.2023,15.05.2023,MobPush,0
43,57,39,19.04.2023,27.04.2023,WebPush,0
32,58,7,14.02.2023,21.02.2023,Viber,3
91,59,33,07.04.2023,13.04.2023,Email,3
95,60,29,30.03.2023,10.04.2023,Email,2
40,61,19,10.03.2023,18.03.2023,SMS,3
66,62,8,16.02.2023,25.02.2023,Viber,0
50,63,3,06.02.2023,19.02.2023,Email,1
37,64,31,03.04.2023,08.04.2023,Email,0
7,65,38,17.04.2023,19.04.2023,WebPush,3
75,66,44,29.04.2023,08.05.2023,MobPush,0
33,67,50,11.05.2023,13.05.2023,MobPush,3
13,68,21,14.03.2023,15.03.2023,SMS,2
100,69,31,03.04.2023,13.04.2023,Email,0
100,70,1,02.02.2023,03.02.2023,Viber,2
3,71,47,05.05.2023,18.05.2023,MobPush,1
2,72,48,07.05.2023,09.05.2023,MobPush,1
