Вид компании,Нет,Да
Viber,3,23
SMS,7,11
Email,7,9
WebPush,10,15
MobPush,5,13
Viber,4,22
Viber,4,9
Viber,6,12
Viber,5,14
Viber,5,19
Viber,3,20
Viber,2,12
Viber,2,16
Viber,1,11
Viber,8,17
SMS,10,11
SMS,5,14
SMS,6,20
SMS,3,18
SMS,5,15
SMS,6,17
SMS,9,5
SMS,5,20
SMS,3,17
Email,2,14
Email,5,17
Email,11,22
Email,3,11
Email,6,16
Email,7,13
Email,6,10
Email,4,16
Email,5,8
WebPush,5,17
WebPush,2,17
WebPush,7,18
WebPush,3,14
WebPush,2,18
WebPush,7,16
WebPush,2,9
WebPush,7,13
WebPush,2,10
MobPush,3,20
MobPush,6,12
MobPush,10,13
MobPush,4,10
MobPush,5,19
MobPush,8,24
MobPush,3,14
MobPush,4,15
